mode,problem,nelx,nely,nelz,volfrac,max_iter,grayness_gate,controller,n,mean_final_C,std_final_C,ci95_low,ci95_high,mean_final_G,mean_wall_time_s,mean_delta_vs_fixed_tail,mean_pct_vs_fixed_tail,signflip_p_vs_fixed_tail,run_indices,seeds
2d,cantilever,120,60,0,0.4,100,0.2,expert_heuristic,1,76.462438,0.0,76.462438,76.462438,0.0,13.855,0.369282,0.4853,1.0,0,42
2d,cantilever,120,60,0,0.4,100,0.2,fixed,1,81.340454,0.0,81.340454,81.340454,0.1010532,9.981,5.247298,6.8959,1.0,0,42
2d,cantilever,120,60,0,0.4,100,0.2,fixed_tail,1,76.093156,0.0,76.093156,76.093156,2.93e-06,13.927,0.0,0.0,1.0,0,42
2d,cantilever,120,60,0,0.4,100,0.2,grayness_rule,1,79.604931,0.0,79.604931,79.604931,0.0,13.913,3.511775,4.6151,1.0,0,42
2d,cantilever,120,60,0,0.4,100,0.2,llm_agent,1,76.610296,0.0,76.610296,76.610296,0.0,28.967,0.51714,0.6796,1.0,0,42
2d,cantilever,120,60,0,0.4,100,0.2,llm_agent_no_meta,1,76.182139,0.0,76.182139,76.182139,0.00040299,23.332,0.088984,0.1169,1.0,0,42
2d,cantilever,120,60,0,0.4,300,0.2,expert_heuristic,1,76.462438,0.0,76.462438,76.462438,0.0,68.172,0.654977,0.864,1.0,0,42
2d,cantilever,120,60,0,0.4,300,0.2,fixed,1,80.9784,0.0,80.9784,80.9784,0.09842448,60.478,5.170938,6.8211,1.0,0,42
2d,cantilever,120,60,0,0.4,300,0.2,fixed_tail,1,75.807461,0.0,75.807461,75.807461,8.3e-07,67.418,0.0,0.0,1.0,0,42
2d,cantilever,120,60,0,0.4,300,0.2,grayness_rule,1,79.604931,0.0,79.604931,79.604931,0.0,67.68,3.79747,5.0094,1.0,0,42
2d,cantilever,120,60,0,0.4,300,0.2,llm_agent,1,76.228756,0.0,76.228756,76.228756,1e-08,109.814,0.421295,0.5557,1.0,0,42
2d,cantilever,120,60,0,0.4,300,0.2,llm_agent_no_meta,1,75.725185,0.0,75.725185,75.725185,0.0,96.535,-0.082276,-0.1085,1.0,0,42
2d,cantilever,120,60,0,0.4,500,0.2,expert_heuristic,1,76.462438,0.0,76.462438,76.462438,0.0,52.943,0.71832,0.9484,1.0,0,42
2d,cantilever,120,60,0,0.4,500,0.2,fixed,1,80.899977,0.0,80.899977,80.899977,0.09823619,35.26,5.155859,6.8069,1.0,0,42
2d,cantilever,120,60,0,0.4,500,0.2,fixed_tail,1,75.744118,0.0,75.744118,75.744118,3.8e-07,39.359,0.0,0.0,1.0,0,42
2d,cantilever,120,60,0,0.4,500,0.2,grayness_rule,1,79.604931,0.0,79.604931,79.604931,0.0,52.809,3.860813,5.0972,1.0,0,42
2d,cantilever,120,60,0,0.4,500,0.2,llm_agent,1,75.989222,0.0,75.989222,75.989222,1e-08,127.923,0.245104,0.3236,1.0,0,42
2d,cantilever,120,60,0,0.4,500,0.2,llm_agent_no_meta,1,75.765695,0.0,75.765695,75.765695,2e-08,30.935,0.021577,0.0285,1.0,0,42
