controller,run_idx,seed,final_compliance,final_grayness,final_volume,wall_time,tail_entry_best_C,tail_entry_best_iter,tail_entry_best_G,tail_entry_valid,tail_enabled,result_dir,metrics_file,mode,problem,nelx,nely,nelz,volfrac,max_iter,grayness_gate
fixed,0,42,81.34045357528424,0.10105320002484941,0.3999999998788881,9.980524063110352,81.34554,100.0,0.10105,True,False,results_pub_cantilever_2d_budget_N100_fixed,per_run_metrics.json,2d,cantilever,120,60,0,0.4,100,0.2
fixed_tail,0,42,76.0931555776646,2.9258601770595867e-06,0.39999999999989605,13.926927089691162,81.34554,100.0,0.10105,True,True,results_pub_cantilever_2d_budget_N100_fixed_tail,per_run_metrics.json,2d,cantilever,120,60,0,0.4,100,0.2
expert_heuristic,0,42,76.46243770153592,3.058836024547947e-09,0.39999999999999974,13.85529375076294,76.46247,100.0,0.0,True,True,results_pub_cantilever_2d_budget_N100_expert_heuristic,per_run_metrics.json,2d,cantilever,120,60,0,0.4,100,0.2
grayness_rule,0,42,79.60493095040019,3.1668175241545003e-09,0.40000000000000036,13.913446426391602,79.60493,72.0,0.0,True,True,results_pub_cantilever_2d_budget_N100_grayness_rule,per_run_metrics.json,2d,cantilever,120,60,0,0.4,100,0.2
llm_agent,0,42,76.61029565728019,3.79223106300566e-09,0.40000000000000024,28.966909408569336,76.6103,100.0,0.0,True,True,results_pub_cantilever_2d_budget_N100_llm_agent,per_run_metrics.json,2d,cantilever,120,60,0,0.4,100,0.2
llm_agent_no_meta,0,42,76.18213938900782,0.0004029930982475151,0.40000000000174085,23.331724405288696,76.14081,65.0,0.00118,True,True,results_pub_cantilever_2d_budget_N100_llm_agent_no_meta,per_run_metrics.json,2d,cantilever,120,60,0,0.4,100,0.2
fixed,0,42,80.97839954926438,0.09842448095339591,0.39999999996233165,60.477747440338135,80.97907,300.0,0.09841,True,False,results_pub_cantilever_2d_review_r0_fixed,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.2
fixed_tail,0,42,75.80746110676509,8.310771798706213e-07,0.4000000000000005,67.41761040687561,80.97907,300.0,0.09841,True,True,results_pub_cantilever_2d_review_r0_fixed_tail,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.2
expert_heuristic,0,42,76.46243770147169,3.058877852100149e-09,0.4000000000000002,68.17217826843262,76.46246,155.0,0.0,True,True,results_pub_cantilever_2d_review_r0_expert_heuristic,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.2
grayness_rule,0,42,79.60493095040177,3.1668175303224114e-09,0.4000000000000003,67.68010997772217,79.60493,300.0,0.0,True,True,results_pub_cantilever_2d_review_r0_grayness_rule,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.2
llm_agent,0,42,76.22875611327355,9.493202256004974e-09,0.39999999999999886,109.81384444236755,76.22876,285.0,0.0,True,True,results_pub_cantilever_2d_review_r0_llm_agent,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.2
llm_agent_no_meta,0,42,75.72518481201163,3.8748610503322804e-09,0.39999999999999986,96.53461170196533,75.72519,278.0,0.0,True,True,results_pub_cantilever_2d_review_r0_llm_agent_no_meta,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.2
fixed,0,42,80.89997735361776,0.09823618559175584,0.3999999999257754,35.25979971885681,80.90027,358.0,0.09824,True,False,results_pub_cantilever_2d_budget_N500_fixed,per_run_metrics.json,2d,cantilever,120,60,0,0.4,500,0.2
fixed_tail,0,42,75.74411810122727,3.839687561227722e-07,0.39999999999999597,39.35915780067444,80.90027,358.0,0.09824,True,True,results_pub_cantilever_2d_budget_N500_fixed_tail,per_run_metrics.json,2d,cantilever,120,60,0,0.4,500,0.2
expert_heuristic,0,42,76.46243770146495,3.0588788247156316e-09,0.4,52.94303894042969,76.46246,465.0,0.0,True,True,results_pub_cantilever_2d_budget_N500_expert_heuristic,per_run_metrics.json,2d,cantilever,120,60,0,0.4,500,0.2
grayness_rule,0,42,79.60493095039429,3.166817389663335e-09,0.40000000000000036,52.80852556228638,79.60493,496.0,0.0,True,True,results_pub_cantilever_2d_budget_N500_grayness_rule,per_run_metrics.json,2d,cantilever,120,60,0,0.4,500,0.2
llm_agent,0,42,75.98922217331204,7.227261077048851e-09,0.40000000000000147,127.92256498336792,75.98922,474.0,0.0,True,True,results_pub_cantilever_2d_budget_N500_llm_agent,per_run_metrics.json,2d,cantilever,120,60,0,0.4,500,0.2
llm_agent_no_meta,0,42,75.76569469708718,2.44550232748381e-08,0.40000000000000013,30.934589624404907,80.55209,137.0,0.07197,True,True,results_pub_cantilever_2d_budget_N500_llm_agent_no_meta,per_run_metrics.json,2d,cantilever,120,60,0,0.4,500,0.2
