controller,run_idx,seed,final_compliance,final_grayness,final_volume,wall_time,tail_entry_best_C,tail_entry_best_iter,tail_entry_best_G,tail_entry_valid,tail_enabled,result_dir,metrics_file,mode,problem,nelx,nely,nelz,volfrac,max_iter,grayness_gate
grayness_rule,0,42,77.30053901554501,4.057867898065038e-09,0.39999999999999986,66.20763111114502,77.30054,296.0,0.0,True,True,results_pub_cantilever_2d_gate_0p10_grayness_rule,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.1
llm_agent,0,42,76.22875611327355,9.493202256004974e-09,0.39999999999999886,111.93575644493103,76.22876,285.0,0.0,True,True,results_pub_cantilever_2d_gate_0p10_llm_agent,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.1
grayness_rule,0,42,77.40872768962456,3.567695362133e-09,0.40000000000000024,57.73764371871948,77.40873,61.0,0.0,True,True,results_pub_cantilever_2d_gate_0p15_grayness_rule,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.15
llm_agent,0,42,76.22875611327355,9.493202256004974e-09,0.39999999999999886,112.20696353912354,76.22876,285.0,0.0,True,True,results_pub_cantilever_2d_gate_0p15_llm_agent,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.15
grayness_rule,0,42,80.09648069539462,3.788060231881683e-09,0.40000000000000036,68.57771348953247,80.09649,298.0,0.0,True,True,results_pub_cantilever_2d_gate_0p25_grayness_rule,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.25
llm_agent,0,42,76.22875611327355,9.493202256004974e-09,0.39999999999999886,108.00614643096924,76.22876,285.0,0.0,True,True,results_pub_cantilever_2d_gate_0p25_llm_agent,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.25
grayness_rule,0,42,81.35286907813307,1.0018423623321469e-08,0.39999999999999586,70.1413631439209,81.35295,300.0,1e-05,True,True,results_pub_cantilever_2d_gate_0p30_grayness_rule,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.3
llm_agent,0,42,76.22875611327355,9.493202256004974e-09,0.39999999999999886,115.20154643058777,76.22876,285.0,0.0,True,True,results_pub_cantilever_2d_gate_0p30_llm_agent,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.3
grayness_rule,0,42,82.1933743988205,7.162834201194444e-09,0.39999999999999775,69.9275496006012,82.19349,82.0,1e-05,True,True,results_pub_cantilever_2d_gate_0p35_grayness_rule,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.35
llm_agent,0,42,76.22875611327355,9.493202256004974e-09,0.39999999999999886,110.63381767272949,76.22876,285.0,0.0,True,True,results_pub_cantilever_2d_gate_0p35_llm_agent,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.35
grayness_rule,0,42,79.60493095040177,3.1668175303224114e-09,0.4000000000000003,67.68010997772217,79.60493,300.0,0.0,True,True,results_pub_cantilever_2d_review_r0_grayness_rule,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.2
llm_agent,0,42,76.22875611327355,9.493202256004974e-09,0.39999999999999886,109.81384444236755,76.22876,285.0,0.0,True,True,results_pub_cantilever_2d_review_r0_llm_agent,per_run_metrics.json,2d,cantilever,120,60,0,0.4,300,0.2
