mode,problem,controller,n,mean_final_C,std_final_C,ci95_low,ci95_high,mean_final_G,mean_wall_time_s,mean_delta_vs_fixed_tail,mean_pct_vs_fixed_tail,signflip_p_vs_fixed_tail,run_indices,seeds
2d,cantilever,expert_heuristic,1,76.462438,0.0,76.462438,76.462438,0.0,68.172,0.654977,0.864,1.0,0,42
2d,cantilever,fixed,1,80.9784,0.0,80.9784,80.9784,0.09842448,60.478,5.170938,6.8211,1.0,0,42
2d,cantilever,fixed_tail,1,75.807461,0.0,75.807461,75.807461,8.3e-07,67.418,0.0,0.0,1.0,0,42
2d,cantilever,grayness_rule,1,79.604931,0.0,79.604931,79.604931,0.0,67.68,3.79747,5.0094,1.0,0,42
2d,cantilever,grayness_rule_restart,1,79.604931,0.0,79.604931,79.604931,0.0,38.953,3.79747,5.0094,1.0,0,42
2d,cantilever,llm_agent,1,76.228756,0.0,76.228756,76.228756,1e-08,109.814,0.421295,0.5557,1.0,0,42
2d,cantilever,llm_agent_no_meta,1,75.725185,0.0,75.725185,75.725185,0.0,96.535,-0.082276,-0.1085,1.0,0,42
2d,cantilever,llm_agent_no_restart,1,76.228756,0.0,76.228756,76.228756,1e-08,116.43,0.421295,0.5557,1.0,0,42
2d,cantilever,schedule_only,1,81.329569,0.0,81.329569,81.329569,1e-08,67.418,5.522107,7.2844,1.0,0,42
2d,cantilever,tail_only,1,187.60887,0.0,187.60887,187.60887,0.00023879,18.236,111.801409,147.4807,1.0,0,42
2d,cantilever,three_field_continuation,1,76.786164,0.0,76.786164,76.786164,0.0,67.713,0.978703,1.291,1.0,0,42
2d,lbracket,expert_heuristic,1,43.438493,0.0,43.438493,43.438493,0.0,68.253,0.557784,1.3008,1.0,0,42
2d,lbracket,fixed,1,46.324998,0.0,46.324998,46.324998,0.11276067,33.679,3.444289,8.0323,1.0,0,42
2d,lbracket,fixed_tail,1,42.880709,0.0,42.880709,42.880709,3.04e-06,57.293,0.0,0.0,1.0,0,42
2d,lbracket,grayness_rule,1,44.608095,0.0,44.608095,44.608095,0.0,68.571,1.727386,4.0284,1.0,0,42
2d,lbracket,grayness_rule_restart,1,44.608095,0.0,44.608095,44.608095,0.0,66.31,1.727386,4.0284,1.0,0,42
2d,lbracket,llm_agent,1,43.06683,0.0,43.06683,43.06683,0.0,109.223,0.186121,0.434,1.0,0,42
2d,lbracket,llm_agent_no_meta,1,43.073614,0.0,43.073614,43.073614,1e-08,96.541,0.192905,0.4499,1.0,0,42
2d,lbracket,llm_agent_no_restart,1,43.06683,0.0,43.06683,43.06683,0.0,106.04,0.186121,0.434,1.0,0,42
2d,lbracket,schedule_only,1,44.872067,0.0,44.872067,44.872067,1e-08,67.114,1.991358,4.6439,1.0,0,42
2d,lbracket,tail_only,1,130.075775,0.0,130.075775,130.075775,6.753e-05,10.078,87.195066,203.3433,1.0,0,42
2d,lbracket,three_field_continuation,1,43.804553,0.0,43.804553,43.804553,0.0,65.147,0.923844,2.1545,1.0,0,42
2d,mbb,expert_heuristic,1,96.499907,0.0,96.499907,96.499907,2e-08,67.596,2.783999,2.9707,1.0,0,42
2d,mbb,fixed,1,102.280844,0.0,102.280844,102.280844,0.14553141,60.031,8.564936,9.1393,1.0,0,42
2d,mbb,fixed_tail,1,93.715908,0.0,93.715908,93.715908,4.72e-06,69.374,0.0,0.0,1.0,0,42
2d,mbb,grayness_rule,1,100.249373,0.0,100.249373,100.249373,1e-08,68.361,6.533465,6.9716,1.0,0,42
2d,mbb,grayness_rule_restart,1,100.249373,0.0,100.249373,100.249373,1e-08,67.65,6.533465,6.9716,1.0,0,42
2d,mbb,llm_agent,1,94.729435,0.0,94.729435,94.729435,1e-08,107.957,1.013527,1.0815,1.0,0,42
2d,mbb,llm_agent_no_meta,1,94.121559,0.0,94.121559,94.121559,0.00041174,98.549,0.405651,0.4329,1.0,0,42
2d,mbb,llm_agent_no_restart,1,94.729435,0.0,94.729435,94.729435,1e-08,109.326,1.013527,1.0815,1.0,0,42
2d,mbb,schedule_only,1,103.392946,0.0,103.392946,103.392946,0.00043508,69.129,9.677038,10.3259,1.0,0,42
2d,mbb,tail_only,1,267.366657,0.0,267.366657,267.366657,0.00011114,17.858,173.650749,185.2948,1.0,0,42
2d,mbb,three_field_continuation,1,96.713445,0.0,96.713445,96.713445,0.0,69.087,2.997537,3.1985,1.0,0,42
