mode,problem,controller,n,mean_final_C,std_final_C,ci95_low,ci95_high,mean_final_G,mean_wall_time_s,mean_delta_vs_fixed_tail,mean_pct_vs_fixed_tail,signflip_p_vs_fixed_tail,run_indices,seeds
2d,lbracket,expert_heuristic,1,43.438493,0.0,43.438493,43.438493,0.0,68.253,0.557784,1.3008,1.0,0,42
2d,lbracket,fixed,1,46.324998,0.0,46.324998,46.324998,0.11276067,33.679,3.444289,8.0323,1.0,0,42
2d,lbracket,fixed_tail,1,42.880709,0.0,42.880709,42.880709,3.04e-06,57.293,0.0,0.0,1.0,0,42
2d,lbracket,grayness_rule,1,44.608095,0.0,44.608095,44.608095,0.0,68.571,1.727386,4.0284,1.0,0,42
2d,lbracket,grayness_rule_restart,1,44.608095,0.0,44.608095,44.608095,0.0,66.31,1.727386,4.0284,1.0,0,42
2d,lbracket,llm_agent,1,43.06683,0.0,43.06683,43.06683,0.0,109.223,0.186121,0.434,1.0,0,42
2d,lbracket,llm_agent_no_meta,1,43.073614,0.0,43.073614,43.073614,1e-08,96.541,0.192905,0.4499,1.0,0,42
2d,lbracket,llm_agent_no_restart,1,43.06683,0.0,43.06683,43.06683,0.0,106.04,0.186121,0.434,1.0,0,42
2d,lbracket,schedule_only,1,44.872067,0.0,44.872067,44.872067,1e-08,67.114,1.991358,4.6439,1.0,0,42
2d,lbracket,tail_only,1,130.075775,0.0,130.075775,130.075775,6.753e-05,10.078,87.195066,203.3433,1.0,0,42
2d,lbracket,three_field_continuation,1,43.804553,0.0,43.804553,43.804553,0.0,65.147,0.923844,2.1545,1.0,0,42
