controller,run_idx,seed,final_compliance,final_grayness,final_volume,wall_time,tail_entry_best_C,tail_entry_best_iter,tail_entry_best_G,tail_entry_valid,tail_enabled,result_dir,metrics_file,mode,problem,nelx,nely,nelz,volfrac,max_iter
expert_heuristic,0,42,43.43849308991628,4.291384460578302e-09,0.4000000000000001,68.25254440307617,43.43852,111.0,0.0,True,True,results_pub_lbracket_2d_review_r0_expert_heuristic,per_run_metrics.json,2d,lbracket,120,60,0,0.4,300
fixed,0,42,46.32499758093193,0.1127606707765332,0.3999999998678217,33.678823471069336,46.32565,300.0,0.11276,True,False,results_pub_lbracket_2d_review_r0_fixed,per_run_metrics.json,2d,lbracket,120,60,0,0.4,300
fixed_tail,0,42,42.88070904816036,3.044264806316337e-06,0.40000000000006974,57.29276728630066,46.32565,300.0,0.11276,True,True,results_pub_lbracket_2d_review_r0_fixed_tail,per_run_metrics.json,2d,lbracket,120,60,0,0.4,300
grayness_rule,0,42,44.608095346517715,4.1726245140760305e-09,0.40000000000000113,68.57103896141052,44.6081,220.0,0.0,True,True,results_pub_lbracket_2d_review_r0_grayness_rule,per_run_metrics.json,2d,lbracket,120,60,0,0.4,300
grayness_rule_restart,0,42,44.608095346517715,4.1726245140760305e-09,0.40000000000000113,66.31042122840881,44.6081,220.0,0.0,True,True,results_pub_lbracket_2d_review_r0_grayness_rule_restart,per_run_metrics.json,2d,lbracket,120,60,0,0.4,300
llm_agent,0,42,43.06682979477536,3.5796037796715553e-09,0.40000000000000024,109.2226448059082,43.06683,299.0,0.0,True,True,results_pub_lbracket_2d_review_r0_llm_agent,per_run_metrics.json,2d,lbracket,120,60,0,0.4,300
llm_agent_no_meta,0,42,43.07361423800186,5.338844108858619e-09,0.39999999999999886,96.54070162773132,43.07361,297.0,0.0,True,True,results_pub_lbracket_2d_review_r0_llm_agent_no_meta,per_run_metrics.json,2d,lbracket,120,60,0,0.4,300
llm_agent_no_restart,0,42,43.06682979477536,3.5796037796715553e-09,0.40000000000000024,106.04024958610535,43.06683,299.0,0.0,True,True,results_pub_lbracket_2d_review_r0_llm_agent_no_restart,per_run_metrics.json,2d,lbracket,120,60,0,0.4,300
schedule_only,0,42,44.87206733866742,1.3079183278645791e-08,0.400000000000002,67.11418461799622,44.87207,128.0,0.0,True,True,results_pub_lbracket_2d_review_r0_schedule_only,per_run_metrics.json,2d,lbracket,120,60,0,0.4,300
tail_only,0,42,130.07577530660657,6.752529430253119e-05,0.40000000028724747,10.078447341918945,inf,0.0,0.96,False,True,results_pub_lbracket_2d_review_r0_tail_only,per_run_metrics.json,2d,lbracket,120,60,0,0.4,300
three_field_continuation,0,42,43.80455260106042,2.640668406093736e-09,0.39999999999999974,65.14657139778137,43.80456,271.0,0.0,True,True,results_pub_lbracket_2d_review_r0_three_field_continuation,per_run_metrics.json,2d,lbracket,120,60,0,0.4,300
