controller,run_idx,seed,final_compliance,final_grayness,final_volume,wall_time,tail_entry_best_C,tail_entry_best_iter,tail_entry_best_G,tail_entry_valid,tail_enabled,result_dir,metrics_file,mode,problem,nelx,nely,nelz,volfrac,max_iter
expert_heuristic,0,42,96.49990749480513,2.044887106847618e-08,0.4000000000000184,67.5958800315857,96.49991,101.0,0.0,True,True,results_pub_mbb_2d_review_r0_expert_heuristic,per_run_metrics.json,2d,mbb,120,60,0,0.4,300
fixed,0,42,102.28084422607854,0.14553140849010116,0.400000000161186,60.030741691589355,102.28223,300.0,0.14553,True,False,results_pub_mbb_2d_review_r0_fixed,per_run_metrics.json,2d,mbb,120,60,0,0.4,300
fixed_tail,0,42,93.71590833020616,4.7190260939983416e-06,0.3999999999993592,69.37400221824646,102.28223,300.0,0.14553,True,True,results_pub_mbb_2d_review_r0_fixed_tail,per_run_metrics.json,2d,mbb,120,60,0,0.4,300
grayness_rule,0,42,100.24937346515962,8.958031617049319e-09,0.3999999999999977,68.36096334457397,100.24938,296.0,0.0,True,True,results_pub_mbb_2d_review_r0_grayness_rule,per_run_metrics.json,2d,mbb,120,60,0,0.4,300
grayness_rule_restart,0,42,100.24937346515962,8.958031617049319e-09,0.3999999999999977,67.65019249916077,100.24938,296.0,0.0,True,True,results_pub_mbb_2d_review_r0_grayness_rule_restart,per_run_metrics.json,2d,mbb,120,60,0,0.4,300
llm_agent,0,42,94.72943536450907,1.0810647765068628e-08,0.39999999999999897,107.9566159248352,94.72944,274.0,0.0,True,True,results_pub_mbb_2d_review_r0_llm_agent,per_run_metrics.json,2d,mbb,120,60,0,0.4,300
llm_agent_no_meta,0,42,94.12155912914434,0.0004117353743087468,0.3999999999957251,98.54925012588501,94.11803,161.0,0.00022,True,True,results_pub_mbb_2d_review_r0_llm_agent_no_meta,per_run_metrics.json,2d,mbb,120,60,0,0.4,300
llm_agent_no_restart,0,42,94.72943536450907,1.0810647765068628e-08,0.39999999999999897,109.32585024833679,94.72944,274.0,0.0,True,True,results_pub_mbb_2d_review_r0_llm_agent_no_restart,per_run_metrics.json,2d,mbb,120,60,0,0.4,300
schedule_only,0,42,103.3929463834811,0.0004350770823087814,0.3999999999978194,69.12906575202942,103.38076,67.0,0.00012,True,True,results_pub_mbb_2d_review_r0_schedule_only,per_run_metrics.json,2d,mbb,120,60,0,0.4,300
tail_only,0,42,267.36665696152244,0.00011114048107369875,0.4000000001542172,17.858195543289185,inf,0.0,0.96,False,True,results_pub_mbb_2d_review_r0_tail_only,per_run_metrics.json,2d,mbb,120,60,0,0.4,300
three_field_continuation,0,42,96.71344487011567,4.901058225590984e-09,0.39999999999999963,69.08715343475342,96.71349,101.0,0.0,True,True,results_pub_mbb_2d_review_r0_three_field_continuation,per_run_metrics.json,2d,mbb,120,60,0,0.4,300
