controller,n,mean_final_C,std_final_C,ci95_low,ci95_high,mean_final_G,mean_wall_time_s,mean_delta_vs_fixed_tail,mean_pct_vs_fixed_tail,signflip_p_vs_fixed_tail,run_indices,seeds
expert_heuristic,2,76.462438,0.0,76.462438,76.462438,0.0,68.474,0.654977,0.864,0.5,0 1,42 49
fixed,2,80.9784,0.0,80.9784,80.9784,0.09842448,59.116,5.170938,6.8211,0.5,0 1,42 49
fixed_tail,2,75.807461,0.0,75.807461,75.807461,8.3e-07,68.651,0.0,0.0,1.0,0 1,42 49
grayness_rule,2,79.604931,0.0,79.604931,79.604931,0.0,62.972,3.79747,5.0094,0.5,0 1,42 49
grayness_rule_restart,2,79.604931,0.0,79.604931,79.604931,0.0,54.522,3.79747,5.0094,0.5,0 1,42 49
llm_agent,2,76.228756,0.0,76.228756,76.228756,1e-08,111.772,0.421295,0.5557,0.5,0 1,42 49
llm_agent_no_meta,2,75.725185,0.0,75.725185,75.725185,0.0,96.44,-0.082276,-0.1085,0.5,0 1,42 49
llm_agent_no_restart,2,76.228756,0.0,76.228756,76.228756,1e-08,114.753,0.421295,0.5557,0.5,0 1,42 49
schedule_only,2,81.329569,0.0,81.329569,81.329569,1e-08,68.127,5.522107,7.2844,0.5,0 1,42 49
tail_only,2,187.60887,0.0,187.60887,187.60887,0.00023879,18.013,111.801409,147.4807,0.5,0 1,42 49
three_field_continuation,2,76.786164,0.0,76.786164,76.786164,0.0,60.844,0.978703,1.291,0.5,0 1,42 49
